surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CO	0.000000000000	[0, 0, 78.6, 263.9, 284.3, 2115.0]	GK calc
None	gas	H2	0.000000000000	[0, 123.3, 182.2, 304.6, 427.9, 4470.7]	GK calc
None	gas	H2O	0.000000000000	[0, 0, 121.9, 259.2, 290.5, 358.9, 1623.4, 3753.9,  3874.9]	GK_calc
Cu	100	CO	-0.530835	[228.796298, 245.346776, 310.978098, 346.784218, 355.893496, 1765.707757,]	beta=(0.059781858280483484, -0.7938748555908866)
Cu	100	H	0.105143	[449.128915, 1097.442645, 1136.820014,]	beta=(-0.01729025402247683, 0.1812203293516176)
Cu	100	H-H2O-ele	1.647265	[149.37509835078373, 207.24512549691295, 292.4969850984612, 419.61815721881896, 444.735312442015, 546.1085116119932, 632.5211574106341, 862.5202495186039, 942.180078970763, 3124.8192205738437, 3760.770275534166]	beta=(0.5231793731775273, -0.6547243175448487) H_to_H2_base 103j
Cu	100	H2O-ele	1.574851	[169.0453766281723, 253.3515901232807, 276.71701722006964, 361.74094452379416, 445.1930871319951, 535.4225312982255, 883.777571746467, 3711.4862647461796]	beta=(0.43516785821339593, -0.3398875568815079) clean_to_H_base 1043j
Cu	211	CO	-0.487066	[240.170341, 259.619725, 279.605456, 337.281875, 359.391887, 1808.277071,]	beta=(-0.000527111148607784, -0.48474645648378445)
Cu	211	H	-0.040786	[12.0, 1035.693433, 1147.932837,]	beta=(0.02337267525012133, -0.1436253939978989)
Cu	211	H-H2O-ele	1.157704	[]	beta=(0.42967507327006405, -0.7328659804149328) H_to_H2_base 0
Cu	211	H2O-ele	1.428268	[12.0, 80.91863423307169, 357.5998272650069, 376.74001144606075, 492.4714724394958, 748.9559805787508, 914.7366625264373, 3721.2427539146333]	beta=(0.36323579621153623, -0.1699694400844681) clean_to_H_base 762j
Cu	211	H-ele	0.928798	[120.31283149882798, 184.21701607415528, 266.8579637535768, 315.1013647460627, 518.6142790871817, 600.4286317670386, 1026.0162649468923, 1207.862021066909, 1651.6607899178975, 2647.6361340462918, 3661.597471834388]	beta=(-0.4990452162663718, 3.1245972855097577) clean_to_H_acid 1272j
