surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CO	0.000000000000	[]	GK calc
None	gas	H2	0.000000000000	[]	GK calc
None	gas	H2O	0.000000000000	[]	GK_calc
Cu	100	H	0.294523	[]	beta=(-0.01729025402247683, 0.1812203293516176)
Cu	100	H-H2O-ele	1.693926	[]	beta=(0.4910033872644518, -0.5192447631933274) H_to_H2_base 103j
Cu	100	H-H	1.157175	[]	beta=(-0.03582220550930511, 1.037871894241452) H_to_H2_chemical 1239j
Cu	100	H2O-ele	1.311465	[]	beta=(0.43516785821339593, -0.3398875568815079) clean_to_H_base 1043j
Cu	111	CO	0.335671	[]	beta=(0.1523670746611968, -0.8585293405548797)
Cu	111	H	0.197099	[]	beta=(0.00105005948699, 0.028759896948697555)
Cu	111	H-H2O-ele	1.336463	[]	beta=(0.4313787849896049, -0.49380413291375225) H_to_H2_base 682j
Cu	111	H-H	1.216613	[]	beta=(-0.03915634768781768, 1.137797916603344) H_to_H2_chemical 983j
Cu	111	H2O-ele	1.428792	[]	beta=(0.42359926075241655, -0.11802607677867906) clean_to_H_base 809j
Cu	211	H	0.047549	[]	beta=(0.02337267525012133, -0.1436253939978989)
Cu	211	H-H2O-ele	1.162671	[]	beta=(0.42967507327006405, -0.7328659804149328) H_to_H2_base 786j
Cu	211	H-H	1.472550	[]	beta=(0.0907842890771416, 0.7779587394073109) H_to_H2_chemical 1096j
Cu	211	H2O-ele	1.108587	[]	beta=(0.36323579621153623, -0.1699694400844681) clean_to_H_base 762j
